fullType: Base.Belly_Turtleneck, basePrice: 257, tag: CLOTHING_NORMAL
fullType: Base.AerosolbombSensorV3, basePrice: 490, tag: GUN
fullType: Base.Corn, basePrice: 130, tag: FOOD
fullType: Base.AerosolbombSensorV1, basePrice: 3835, tag: GUN
fullType: Base.AerosolbombSensorV2, basePrice: 1726, tag: GUN
fullType: Base.Lunchbox, basePrice: 239, tag: CLOTHING_BAG
fullType: Base.Sage, basePrice: 115, tag: FOOD
fullType: Base.Skirt_Lisa, basePrice: 247, tag: CLOTHING_NORMAL
fullType: Base.Trousers_DefaultTEXTURE_TINT, basePrice: 85, tag: CLOTHING_NORMAL
fullType: Base.Mov_BrownLowTable, basePrice: 1438, tag: COSMETIC
fullType: Base.WaterPotPasta, basePrice: 138, tag: FOOD
fullType: Base.Timer, basePrice: 8081, tag: COSMETIC
fullType: Base.Bra_Strapless_White, basePrice: 169, tag: CLOTHING_NORMAL
fullType: Base.Star_Cape, basePrice: 104, tag: CLOTHING_NORMAL
fullType: Base.Dandelions, basePrice: 156, tag: FOOD
fullType: Base.VHS_Home, basePrice: 2392, tag: COSMETIC
fullType: Base.Hat_Patrol_Cap, basePrice: 379, tag: CLOTHING_NORMAL
fullType: Base.HairDyeLightBrown, basePrice: 1198, tag: TOOL
fullType: Base.Jumper_TankTopTINT, basePrice: 335, tag: CLOTHING_NORMAL
fullType: Base.WaterTeacup, basePrice: 543, tag: TOOL
fullType: Base.Casual_Stocking_Ripped, basePrice: 238, tag: CLOTHING_NORMAL
fullType: Base.Mov_PosterPieRed, basePrice: 4187, tag: COSMETIC
fullType: Base.Wine, basePrice: 184, tag: FOOD
fullType: Base.PaintPurple, basePrice: 613, tag: TOOL
fullType: Base.Vest_DefaultTEXTURE, basePrice: 104, tag: CLOTHING_NORMAL
fullType: Base.BeerEmpty, basePrice: 460, tag: COSMETIC
fullType: Base.GrilledCheese, basePrice: 146, tag: FOOD
fullType: Base.Metro_Boots, basePrice: 91, tag: CLOTHING_NORMAL
fullType: Base.Sweater_Stocking, basePrice: 178, tag: CLOTHING_NORMAL
fullType: Base.Briefs_AnimalPrints, basePrice: 303, tag: CLOTHING_NORMAL
fullType: Base.RicePot, basePrice: 184, tag: FOOD
fullType: Base.Jumper_TankTopDiamondTINT, basePrice: 360, tag: CLOTHING_NORMAL
fullType: Base.PancakesCraft, basePrice: 187, tag: FOOD
fullType: Base.Button, basePrice: 9140, tag: COSMETIC
fullType: Base.Apron_PileOCrepe, basePrice: 314, tag: CLOTHING_NORMAL
fullType: Base.Adidas_Track_Pants_Rolled, basePrice: 246, tag: CLOTHING_NORMAL
fullType: Base.FishingMag2, basePrice: 7248, tag: EXP
fullType: Base.JUGG_Pants, basePrice: 151, tag: CLOTHING_NORMAL
fullType: Base.FishingMag1, basePrice: 4143, tag: EXP
fullType: Base.AlarmClock, basePrice: 1050, tag: GUN
fullType: Base.RearCarDoorDouble1, basePrice: 2600, tag: COSMETIC
fullType: Base.RearCarDoorDouble2, basePrice: 2717, tag: COSMETIC
fullType: Base.Jacket_Ranger, basePrice: 259, tag: CLOTHING_NORMAL
fullType: Base.RearCarDoorDouble3, basePrice: 5154, tag: COSMETIC
fullType: Base.ConeCarry, basePrice: 5023, tag: COSMETIC
fullType: Base.BellyButton_RingSilverAmethyst, basePrice: 57, tag: CLOTHING_NORMAL
fullType: Base.MagazineCrossword1, basePrice: 8940, tag: EXP
fullType: Base.MagazineCrossword2, basePrice: 3931, tag: EXP
fullType: Base.Knit_Dress, basePrice: 228, tag: CLOTHING_NORMAL
fullType: Base.MagazineCrossword3, basePrice: 3485, tag: EXP
fullType: Base.Hat_M1_Helmet, basePrice: 159, tag: CLOTHING_NORMAL
fullType: Base.Military_Ghillie, basePrice: 339, tag: CLOTHING_NORMAL
fullType: Base.Microwave2Carry, basePrice: 826, tag: CLOTHING_BAG
fullType: Base.GlassTumblerWater, basePrice: 331, tag: TOOL
fullType: Base.Briefs_SmallTrunks_Red, basePrice: 268, tag: CLOTHING_NORMAL
fullType: Base.ShotgunShellsBox, basePrice: 9212, tag: COSMETIC
fullType: Base.K1_Gasmask, basePrice: 196, tag: CLOTHING_NORMAL
fullType: Base.SpearMachete, basePrice: 4363, tag: GUN
fullType: Base.DoughnutJelly, basePrice: 196, tag: FOOD
fullType: Base.Matches, basePrice: 1076, tag: TOOL
fullType: Base.G3_Pants_Rolled, basePrice: 135, tag: CLOTHING_NORMAL
fullType: Base.BagelPlain, basePrice: 155, tag: FOOD
fullType: Base.Killa_Jacket, basePrice: 174, tag: CLOTHING_NORMAL
fullType: Base.TransportMicrowave, basePrice: 5167, tag: COSMETIC
fullType: Base.MeatCleaver, basePrice: 4214, tag: GUN
fullType: Base.Salt, basePrice: 166, tag: FOOD
fullType: Base.Lettuce, basePrice: 103, tag: FOOD
fullType: Base.Plantain, basePrice: 4649, tag: COSMETIC
fullType: Base.Chain_Pants_Rolled, basePrice: 309, tag: CLOTHING_NORMAL
fullType: Base.Knit_Dress_ON, basePrice: 251, tag: CLOTHING_NORMAL
fullType: Base.Guacamole, basePrice: 141, tag: FOOD
fullType: Base.Bag_X_Vest, basePrice: 1130, tag: CLOTHING_BAG
fullType: Base.FreddyFox, basePrice: 3639, tag: COSMETIC
fullType: Base.LugWrench, basePrice: 1895, tag: COSMETIC
fullType: Base.Socks_Ankle, basePrice: 253, tag: CLOTHING_NORMAL
fullType: Base.S10_Gasmask_Set, basePrice: 316, tag: CLOTHING_NORMAL
fullType: Base.Centipede2, basePrice: 156, tag: FOOD
fullType: Base.Thyme, basePrice: 197, tag: FOOD
fullType: Base.Earring_Dangly_Ruby, basePrice: 362, tag: CLOTHING_NORMAL
fullType: Base.Necklace_GoldDiamond, basePrice: 299, tag: CLOTHING_NORMAL
fullType: Base.SackProduce_Onion, basePrice: 136, tag: FOOD
fullType: Base.Hat_Cowboy, basePrice: 155, tag: CLOTHING_NORMAL
fullType: Base.Shirt_Ranger, basePrice: 254, tag: CLOTHING_NORMAL
fullType: Base.Sheriff_Jumper, basePrice: 319, tag: CLOTHING_NORMAL
fullType: Base.Mov_ConcreteMixer, basePrice: 6936, tag: COSMETIC
fullType: Base.AssaultRifle2, basePrice: 4691, tag: GUN
fullType: Base.CheckerBoard, basePrice: 3619, tag: COSMETIC
fullType: Base.Dough, basePrice: 108, tag: FOOD
fullType: Base.FluffyfootBunny, basePrice: 361, tag: COSMETIC
fullType: Base.Ginseng, basePrice: 172, tag: FOOD
fullType: Base.BellyButton_RingSilver, basePrice: 251, tag: CLOTHING_NORMAL
fullType: Base.CannedMilkOpen, basePrice: 114, tag: FOOD
fullType: Base.ShotgunSawnoffNoStock, basePrice: 2326, tag: GUN
fullType: Base.KYRPHanddolly, basePrice: 561, tag: CLOTHING_BAG
fullType: Base.PaintLightBrown, basePrice: 677, tag: TOOL
fullType: Base.223Bullets, basePrice: 9983, tag: COSMETIC
fullType: Base.CordlessPhone, basePrice: 4410, tag: COSMETIC
fullType: Base.Mugl, basePrice: 3001, tag: COSMETIC
fullType: Base.Tshirt_PizzaWhirled, basePrice: 386, tag: CLOTHING_NORMAL
fullType: Base.Wire, basePrice: 684, tag: TOOL
fullType: Base.BellyButton_StudSilverDiamond, basePrice: 163, tag: CLOTHING_NORMAL
fullType: Base.Tshirt_Profession_RangerBrown, basePrice: 325, tag: CLOTHING_NORMAL
fullType: Base.TortillaChips, basePrice: 186, tag: FOOD
fullType: Base.Rig_Smersh_C_Loose, basePrice: 1294, tag: CLOTHING_BAG
fullType: Base.Dress_SatinNegligee, basePrice: 157, tag: CLOTHING_NORMAL
fullType: Base.CaseyPic, basePrice: 7918, tag: COSMETIC
fullType: Base.ClosedUmbrellaWhite, basePrice: 2006, tag: GUN
fullType: Base.Bag_ZIP, basePrice: 1327, tag: CLOTHING_BAG
fullType: Base.BakingTray_Muffin, basePrice: 183, tag: FOOD
fullType: Base.CannedBroccoli, basePrice: 122, tag: FOOD
fullType: Base.FishRoe, basePrice: 174, tag: FOOD
fullType: Base.TrousersMesh_DenimLight, basePrice: 185, tag: CLOTHING_NORMAL
fullType: Base.Shirt_Lumberjack, basePrice: 188, tag: CLOTHING_NORMAL
fullType: Base.Field_Jacket, basePrice: 175, tag: CLOTHING_NORMAL
fullType: Base.ANA_Classic, basePrice: 344, tag: CLOTHING_NORMAL
fullType: Base.MuttonChop, basePrice: 163, tag: FOOD
fullType: Base.Mov_RoadCone, basePrice: 6106, tag: COSMETIC
fullType: Base.Kelvin_Jacket_ON, basePrice: 203, tag: CLOTHING_NORMAL
fullType: Base.LeafRake, basePrice: 1743, tag: GUN
fullType: Base.HoodieDOWN_WhiteTINT, basePrice: 388, tag: CLOTHING_NORMAL
fullType: Base.GuitarElectricRed, basePrice: 606, tag: GUN
fullType: Base.MP5SD, basePrice: 1831, tag: GUN
fullType: Base.Hat_Fedora, basePrice: 176, tag: CLOTHING_NORMAL
fullType: Base.OmeletteRecipe, basePrice: 143, tag: FOOD
fullType: Base.NailsBox, basePrice: 1216, tag: COSMETIC
fullType: Base.Acorn, basePrice: 164, tag: FOOD
fullType: Base.CardDeck, basePrice: 9171, tag: COSMETIC
fullType: Base.EggPoached, basePrice: 144, tag: FOOD
fullType: Base.IronIngot, basePrice: 618, tag: TOOL
fullType: Base.SackProduce_Cherry, basePrice: 117, tag: FOOD
fullType: Base.Glasses, basePrice: 138, tag: CLOTHING_NORMAL
fullType: Base.Mov_Microphone, basePrice: 7900, tag: COSMETIC
fullType: Base.BunnySuitPink, basePrice: 368, tag: CLOTHING_NORMAL
fullType: Base.Hat_RiotHelmet, basePrice: 92, tag: CLOTHING_NORMAL
fullType: Base.Doorknob, basePrice: 9074, tag: COSMETIC
fullType: Base.Mov_TVCamera, basePrice: 1887, tag: COSMETIC
fullType: Base.Bracelet_ChainLeftGold, basePrice: 137, tag: CLOTHING_NORMAL
fullType: Base.Comtac4_Headsets, basePrice: 73, tag: CLOTHING_NORMAL
fullType: Base.Hat_CrashHelmet, basePrice: 133, tag: CLOTHING_NORMAL
fullType: Base.PickAxeHandleSpiked, basePrice: 1771, tag: GUN
fullType: Base.SackCarrots, basePrice: 1298, tag: CLOTHING_BAG
fullType: Base.Bag_ShotgunSawnoffBag, basePrice: 1915, tag: CLOTHING_BAG
fullType: Base.Hat_HardHat_Miner, basePrice: 155, tag: CLOTHING_NORMAL
fullType: Base.Centipede, basePrice: 187, tag: FOOD
fullType: Base.PanFriedVegetables, basePrice: 107, tag: FOOD
fullType: Base.Bag_MoneyBag, basePrice: 761, tag: CLOTHING_BAG
fullType: Base.BarBell, basePrice: 1755, tag: GUN
fullType: Base.Pistol2, basePrice: 3656, tag: GUN
fullType: Base.Money, basePrice: 1568, tag: COSMETIC
fullType: Base.Mechanic_Boots, basePrice: 119, tag: CLOTHING_NORMAL
fullType: Base.CinnamonRoll, basePrice: 199, tag: FOOD
fullType: Base.Mov_CardboardBox, basePrice: 4411, tag: COSMETIC
fullType: Base.Stocking_Belt, basePrice: 391, tag: CLOTHING_NORMAL
fullType: Base.Hat_NBCmask, basePrice: 61, tag: CLOTHING_NORMAL
fullType: Base.Pistol3, basePrice: 332, tag: GUN
fullType: Base.WaterMugRed, basePrice: 620, tag: TOOL
fullType: Base.Tie_BowTieWorn, basePrice: 99, tag: CLOTHING_NORMAL
fullType: Base.Trousers_Suit, basePrice: 204, tag: CLOTHING_NORMAL
fullType: Base.Hat_Army, basePrice: 352, tag: CLOTHING_NORMAL
fullType: Base.Mov_PosterPaws, basePrice: 4256, tag: COSMETIC
fullType: Base.BookBlacksmith5, basePrice: 9196, tag: EXP
fullType: Base.Bandana_Mask_Half_Camo, basePrice: 166, tag: CLOTHING_NORMAL
fullType: Base.Trousers_Shellsuit_TINT, basePrice: 264, tag: CLOTHING_NORMAL
fullType: Base.Balaclava_Mask_5, basePrice: 80, tag: CLOTHING_NORMAL
fullType: Base.Balaclava_Mask_6, basePrice: 316, tag: CLOTHING_NORMAL
fullType: Base.Yoyo, basePrice: 7403, tag: COSMETIC
fullType: Base.Balaclava_Mask_3, basePrice: 358, tag: CLOTHING_NORMAL
fullType: Base.Balaclava_Mask_4, basePrice: 251, tag: CLOTHING_NORMAL
fullType: Base.HoodieUP_WhiteTINT, basePrice: 306, tag: CLOTHING_NORMAL
fullType: Base.BookBlacksmith2, basePrice: 6070, tag: EXP
fullType: Base.BookBlacksmith1, basePrice: 3345, tag: EXP
fullType: Base.Football, basePrice: 9969, tag: COSMETIC
fullType: Base.BookBlacksmith4, basePrice: 6330, tag: EXP
fullType: Base.CreditCard, basePrice: 8265, tag: COSMETIC
fullType: Base.BookBlacksmith3, basePrice: 8803, tag: EXP
fullType: Base.CannedBolognese, basePrice: 187, tag: FOOD
fullType: Base.WoodAxe, basePrice: 2685, tag: GUN
fullType: Base.SackProduce_Lettuce, basePrice: 163, tag: FOOD
fullType: Base.Balaclava_Mask_1, basePrice: 174, tag: CLOTHING_NORMAL
fullType: Base.Balaclava_Mask_2, basePrice: 207, tag: CLOTHING_NORMAL
fullType: Base.HandTorch_ManLite, basePrice: 1191, tag: TOOL
fullType: Base.PeanutButter, basePrice: 104, tag: FOOD
fullType: Base.Dress_Cardigan, basePrice: 154, tag: CLOTHING_NORMAL
fullType: Base.Zucchini, basePrice: 145, tag: FOOD
fullType: Base.Metro_Knee_ON, basePrice: 152, tag: CLOTHING_NORMAL
fullType: Base.Hat_HGU56_Shield, basePrice: 272, tag: CLOTHING_NORMAL
fullType: Base.Daikon, basePrice: 196, tag: FOOD
fullType: Base.Hat_BicycleHelmet, basePrice: 372, tag: CLOTHING_NORMAL
fullType: Base.Hat_Sweatband, basePrice: 200, tag: CLOTHING_NORMAL
fullType: Base.Pike, basePrice: 132, tag: FOOD
fullType: Base.ATAFreestorageTrunk, basePrice: 1160, tag: COSMETIC
fullType: Base.556Box, basePrice: 1609, tag: COSMETIC
fullType: Base.Peas, basePrice: 144, tag: FOOD
fullType: Base.Sausage, basePrice: 127, tag: FOOD
fullType: Base.Hat_PeakedCapArmy, basePrice: 357, tag: CLOTHING_NORMAL
fullType: Base.Hinge, basePrice: 620, tag: COSMETIC
fullType: Base.Pear, basePrice: 121, tag: FOOD
fullType: Base.CakeBatter, basePrice: 2137, tag: COSMETIC
fullType: Base.Police_Officer_Hat, basePrice: 85, tag: CLOTHING_NORMAL
fullType: Base.Multi_Carrier_Ammo, basePrice: 1190, tag: CLOTHING_BAG
fullType: Base.Mov_CoffeeMaker, basePrice: 8150, tag: COSMETIC
fullType: Base.22Bullets, basePrice: 6406, tag: COSMETIC
fullType: Base.Tactical_Hood_ON, basePrice: 340, tag: CLOTHING_NORMAL
fullType: Base.Crisps3, basePrice: 106, tag: FOOD
fullType: Base.Jacket_Chef, basePrice: 349, tag: CLOTHING_NORMAL
fullType: Base.Crisps2, basePrice: 136, tag: FOOD
fullType: Base.DenimStrips, basePrice: 3623, tag: COSMETIC
fullType: Base.Scarf_Mask_ON, basePrice: 205, tag: CLOTHING_NORMAL
fullType: Base.Rope, basePrice: 4646, tag: COSMETIC
fullType: Base.KitchenTongs, basePrice: 1146, tag: COSMETIC
fullType: Base.TightsFishnets, basePrice: 386, tag: CLOTHING_NORMAL
fullType: Base.PercedWood, basePrice: 258, tag: COSMETIC
fullType: Base.Sparklers, basePrice: 1811, tag: COSMETIC
fullType: Base.BookFirstAid2, basePrice: 1035, tag: EXP
fullType: Base.BookFirstAid1, basePrice: 4844, tag: EXP
fullType: Base.BookFirstAid4, basePrice: 7646, tag: EXP
fullType: Base.Cologne, basePrice: 664, tag: COSMETIC
fullType: Base.Crisps4, basePrice: 125, tag: FOOD
fullType: Base.BookFirstAid3, basePrice: 6703, tag: EXP
fullType: Base.ATA700Trunk, basePrice: 2104, tag: COSMETIC
fullType: Base.CannedFruitBeverageOpen, basePrice: 178, tag: FOOD
fullType: Base.Stocking_Long, basePrice: 313, tag: CLOTHING_NORMAL
fullType: Base.BookFirstAid5, basePrice: 8122, tag: EXP
fullType: Base.Military_Coat_Long, basePrice: 256, tag: CLOTHING_NORMAL
fullType: Base.AK47Folded, basePrice: 2448, tag: GUN
fullType: Base.SmallTrashCarry, basePrice: 1270, tag: CLOTHING_BAG
fullType: Base.ClosedUmbrellaRed, basePrice: 2316, tag: GUN
fullType: Base.Hat_M1_Helmet_Ori, basePrice: 216, tag: CLOTHING_NORMAL
fullType: Base.Shoes_RidingBoots, basePrice: 286, tag: CLOTHING_NORMAL
fullType: Base.Bag_SKS_Vest, basePrice: 282, tag: CLOTHING_BAG
fullType: Base.Shooting_Shirts, basePrice: 356, tag: CLOTHING_NORMAL
fullType: Base.Suit_Jacket, basePrice: 186, tag: CLOTHING_NORMAL
fullType: Base.HandTorch_Army2, basePrice: 226, tag: TOOL
fullType: Base.HandTorch_Army1, basePrice: 952, tag: TOOL
fullType: Base.TinnedSoup, basePrice: 119, tag: FOOD
fullType: Base.Dress_SmallBlackStrapless, basePrice: 392, tag: CLOTHING_NORMAL
fullType: Base.Earring_Pearl, basePrice: 53, tag: CLOTHING_NORMAL
fullType: Base.Shirt_FormalWhite_ShortSleeveTINT, basePrice: 61, tag: CLOTHING_NORMAL
fullType: Base.EOD_Helmet, basePrice: 291, tag: CLOTHING_NORMAL
fullType: Base.OatsRaw, basePrice: 195, tag: FOOD
fullType: Base.AssaultRifle, basePrice: 3553, tag: GUN
fullType: Base.Purse, basePrice: 1107, tag: CLOTHING_BAG
fullType: Base.CakeChocolate, basePrice: 197, tag: FOOD
fullType: Base.VFEPistolCase1, basePrice: 1657, tag: CLOTHING_BAG
fullType: Base.Mov_GraveArched, basePrice: 7486, tag: COSMETIC
fullType: Base.Golfclub, basePrice: 3396, tag: GUN
fullType: Base.VFEPistolCase3, basePrice: 1706, tag: CLOTHING_BAG
fullType: Base.Shoes_TrainerTINT, basePrice: 362, tag: CLOTHING_NORMAL
fullType: Base.Butter, basePrice: 126, tag: FOOD
fullType: Base.VFEPistolCase2, basePrice: 869, tag: CLOTHING_BAG
fullType: Base.Cornflour, basePrice: 202, tag: TOOL
fullType: Base.ScrewsBox, basePrice: 6406, tag: COSMETIC
fullType: Base.ATA1200Trunk, basePrice: 5485, tag: COSMETIC
fullType: Base.CannedBellPepper, basePrice: 103, tag: FOOD
fullType: Base.Shoes_Lisa, basePrice: 246, tag: CLOTHING_NORMAL
fullType: Base.Antibiotics, basePrice: 108, tag: FOOD
fullType: Base.CannedPeaches, basePrice: 165, tag: FOOD
fullType: Base.CorpseFemale, basePrice: 6586, tag: COSMETIC
fullType: Base.Bracelet_BangleLeftGold, basePrice: 271, tag: CLOTHING_NORMAL
fullType: Base.School_Cardigan_Long, basePrice: 98, tag: CLOTHING_NORMAL
fullType: Base.Susie_Boots, basePrice: 114, tag: CLOTHING_NORMAL
fullType: Base.SpiffoSuit, basePrice: 397, tag: CLOTHING_NORMAL
fullType: Base.Mov_Urinal, basePrice: 7032, tag: COSMETIC
fullType: Base.FruitSalad, basePrice: 112, tag: FOOD
fullType: Base.LeatherStripsDirty, basePrice: 4784, tag: COSMETIC
fullType: Base.Bag_FannyPackFront, basePrice: 239, tag: CLOTHING_BAG
fullType: Base.Lace_Stocking_Half, basePrice: 54, tag: CLOTHING_NORMAL
fullType: Base.StockingsBlack, basePrice: 269, tag: CLOTHING_NORMAL
fullType: Base.Gorka5_Jacket_ON, basePrice: 204, tag: CLOTHING_NORMAL
fullType: Base.SutureNeedle, basePrice: 8402, tag: COSMETIC
fullType: Base.Scarf_StripeRedWhite, basePrice: 294, tag: CLOTHING_NORMAL
fullType: Base.Off_Dress, basePrice: 326, tag: CLOTHING_NORMAL
fullType: Base.SugarBrown, basePrice: 130, tag: FOOD
fullType: Base.SackProduce_Potato, basePrice: 183, tag: FOOD
fullType: Base.Suit_Wick_ON, basePrice: 395, tag: CLOTHING_NORMAL
fullType: Base.Casual_Stocking, basePrice: 361, tag: CLOTHING_NORMAL
fullType: Base.Necklace_Choker_Amber, basePrice: 377, tag: CLOTHING_NORMAL
fullType: Base.CRYE_Pants_Rolled, basePrice: 263, tag: CLOTHING_NORMAL
fullType: Base.FakeItemSights, basePrice: 3798, tag: COSMETIC
fullType: Base.BARS_Hoodie, basePrice: 84, tag: CLOTHING_NORMAL
fullType: Base.Hat_PVS15_Harness_OFF, basePrice: 298, tag: CLOTHING_NORMAL
fullType: Base.Hat_BucketHat, basePrice: 378, tag: CLOTHING_NORMAL
fullType: Base.Allsorts, basePrice: 194, tag: FOOD
fullType: Base.GuitarElectricBassBlue, basePrice: 3000, tag: GUN
fullType: Base.SackProduce_Broccoli, basePrice: 112, tag: FOOD
fullType: Base.CannedPeachesOpen, basePrice: 109, tag: FOOD
fullType: Base.Trench_Ammo_Pack, basePrice: 1535, tag: CLOTHING_BAG
fullType: Base.Handbag, basePrice: 1840, tag: CLOTHING_BAG
fullType: Base.Gloves_LongWomenGloves, basePrice: 96, tag: CLOTHING_NORMAL
fullType: Base.ShotgunSemi2, basePrice: 1276, tag: GUN
fullType: Base.PieApple, basePrice: 149, tag: FOOD
fullType: Base.Gorka_Jacket_New, basePrice: 149, tag: CLOTHING_NORMAL
fullType: Base.PotOfSoupRecipe, basePrice: 171, tag: FOOD
fullType: Base.Peppermint, basePrice: 134, tag: FOOD
fullType: Base.CookiesShortbread, basePrice: 109, tag: FOOD
fullType: Base.PlateFancy, basePrice: 7556, tag: COSMETIC
fullType: Base.SH_Closer, basePrice: 190, tag: CLOTHING_NORMAL
fullType: Base.Shirt_Bowling_LimeGreen, basePrice: 109, tag: CLOTHING_NORMAL
fullType: Base.Cigarettes, basePrice: 172, tag: FOOD
fullType: Base.MP5Folded, basePrice: 1361, tag: GUN
fullType: Base.Bandit_Jacket, basePrice: 376, tag: CLOTHING_NORMAL
fullType: Base.Ashe_Jacket, basePrice: 287, tag: CLOTHING_NORMAL
fullType: Base.Glasses_Sun, basePrice: 330, tag: CLOTHING_NORMAL
fullType: Base.22Box, basePrice: 9337, tag: COSMETIC
fullType: Base.SwimTrunks_Red, basePrice: 159, tag: CLOTHING_NORMAL
fullType: Base.Bag_AK_Vest, basePrice: 1152, tag: CLOTHING_BAG
fullType: Base.Anorak_Pants, basePrice: 122, tag: CLOTHING_NORMAL
fullType: Base.Mini14, basePrice: 2231, tag: GUN
fullType: Base.Bandit_Coat, basePrice: 268, tag: CLOTHING_NORMAL
fullType: Base.BarrelGreenCarry, basePrice: 5538, tag: COSMETIC
fullType: Base.SpearButterKnife, basePrice: 565, tag: GUN
fullType: Base.CandleLit, basePrice: 1013, tag: TOOL
fullType: Base.Hat_WeddingVeil, basePrice: 210, tag: CLOTHING_NORMAL
fullType: Base.RubberBand, basePrice: 123, tag: COSMETIC
fullType: Base.Remote, basePrice: 785, tag: COSMETIC
fullType: Base.Hat_Fireman, basePrice: 150, tag: CLOTHING_NORMAL
fullType: Base.Wine2, basePrice: 123, tag: FOOD
fullType: Base.Squid, basePrice: 114, tag: FOOD
fullType: Base.ATA600Trunk2, basePrice: 2656, tag: COSMETIC
fullType: Base.ATA600Trunk3, basePrice: 7474, tag: COSMETIC
fullType: Base.ATA600Trunk1, basePrice: 5356, tag: COSMETIC
fullType: Base.Hat_PSGT_Visor, basePrice: 190, tag: CLOTHING_NORMAL
fullType: Base.Lamp, basePrice: 2353, tag: COSMETIC
fullType: Base.ELA_Bag, basePrice: 1037, tag: CLOTHING_BAG
fullType: Base.SmokeBombTriggered, basePrice: 2542, tag: GUN
fullType: Base.Mov_Microwave, basePrice: 2745, tag: COSMETIC
fullType: Base.Gravy, basePrice: 133, tag: FOOD
fullType: Base.BerryPoisonIvy, basePrice: 191, tag: FOOD
fullType: Base.Mov_PileOCrepeChair, basePrice: 4882, tag: COSMETIC
fullType: Base.Steak, basePrice: 129, tag: FOOD
fullType: Base.Sweater_Tights, basePrice: 66, tag: CLOTHING_NORMAL
fullType: Base.Macandcheese, basePrice: 121, tag: FOOD
fullType: Base.Pipe, basePrice: 5155, tag: COSMETIC
fullType: Base.ELA_Cap_Back, basePrice: 121, tag: CLOTHING_NORMAL
fullType: Base.Bread_Bag, basePrice: 440, tag: CLOTHING_BAG
fullType: Base.UnusableMetal, basePrice: 2067, tag: COSMETIC
fullType: Base.Trench_Grenade_Pack, basePrice: 1846, tag: CLOTHING_BAG
fullType: Base.Bag_D3M_Loose, basePrice: 1607, tag: CLOTHING_BAG
fullType: Base.Jacket_Bomber_ON, basePrice: 70, tag: CLOTHING_NORMAL
fullType: Base.Bandit_Coat_ON, basePrice: 293, tag: CLOTHING_NORMAL
fullType: Base.Dress_SmallBlackStraps, basePrice: 71, tag: CLOTHING_NORMAL
fullType: Base.Hot_Pants_Fold, basePrice: 159, tag: CLOTHING_NORMAL
fullType: Base.Sports_Bra, basePrice: 158, tag: CLOTHING_NORMAL
fullType: Base.SpearHandFork, basePrice: 3148, tag: GUN
fullType: Base.Huntrite_Jacket_ON, basePrice: 236, tag: CLOTHING_NORMAL
fullType: Base.Hat_BaseballCapArmy, basePrice: 266, tag: CLOTHING_NORMAL
fullType: Base.SackProduce_Eggplant, basePrice: 123, tag: FOOD
fullType: Base.Salami, basePrice: 153, tag: FOOD
fullType: Base.Check_Pants, basePrice: 374, tag: CLOTHING_NORMAL
fullType: Base.HandFork, basePrice: 2015, tag: GUN
fullType: Base.Bag_Radio_Pack, basePrice: 1783, tag: CLOTHING_BAG
fullType: Base.Metro_Gasmask_Set, basePrice: 246, tag: CLOTHING_NORMAL
fullType: Base.PepperHabanero, basePrice: 138, tag: FOOD
fullType: Base.Shirt_HawaiianTINT, basePrice: 231, tag: CLOTHING_NORMAL
fullType: Base.Trench_Grenade_Pack_Loose, basePrice: 437, tag: CLOTHING_BAG
fullType: Base.MiniFridgeCarry, basePrice: 1745, tag: CLOTHING_BAG
fullType: Base.Trousers_Fireman, basePrice: 237, tag: CLOTHING_NORMAL
fullType: Base.Trousers_NavyBlue, basePrice: 114, tag: CLOTHING_NORMAL
fullType: Base.CakeStrawberryShortcake, basePrice: 116, tag: FOOD
fullType: Base.Mov_PlasticChair, basePrice: 7115, tag: COSMETIC
fullType: Base.Hat_RidingHelmet, basePrice: 85, tag: CLOTHING_NORMAL
fullType: Base.Trousers_DefaultTEXTURE_HUE, basePrice: 59, tag: CLOTHING_NORMAL
fullType: Base.CraftedFishingRod, basePrice: 2643, tag: GUN
fullType: Base.Maska_1_Visor, basePrice: 276, tag: CLOTHING_NORMAL
fullType: Base.Suit_Chempak, basePrice: 233, tag: CLOTHING_NORMAL
fullType: Base.Ham_Radio, basePrice: 840, tag: CLOTHING_BAG
fullType: Base.Rig_Smersh_B_Loose, basePrice: 1575, tag: CLOTHING_BAG
fullType: Base.Hat_BaseballCapBlue_Reverse, basePrice: 350, tag: CLOTHING_NORMAL
fullType: Base.M16Bayonet, basePrice: 1190, tag: GUN
fullType: Base.PaintTurquoise, basePrice: 932, tag: TOOL
fullType: Base.MIL_Pants, basePrice: 328, tag: CLOTHING_NORMAL
fullType: Base.Scarf_StripeBlueWhite, basePrice: 304, tag: CLOTHING_NORMAL
fullType: Base.Pepperoni, basePrice: 177, tag: FOOD
fullType: Base.Leather_Jacket_Harry, basePrice: 218, tag: CLOTHING_NORMAL
fullType: Base.x2Scope, basePrice: 335, tag: GUN_PART
fullType: Base.CookiesChocolate, basePrice: 128, tag: FOOD
fullType: Base.Hat_Tactical_Beret, basePrice: 203, tag: CLOTHING_NORMAL
fullType: Base.Y_Shirts, basePrice: 143, tag: CLOTHING_NORMAL
fullType: Base.PanFriedVegetables2, basePrice: 198, tag: FOOD
fullType: Base.44Clip, basePrice: 1020, tag: COSMETIC
fullType: Base.NV_PVS21, basePrice: 292, tag: CLOTHING_NORMAL
